,Name,Intro,Link
0,H2 Energy Now,Energy Storage Solution,https://finder.startupnationcentral.org/company_page/h2-energy-now
1,Solight,Solar Technology for Daytime Interior Lighting,https://finder.startupnationcentral.org/company_page/solight
2,Alumor h20Ready,Portable UV Water Purification UV,https://finder.startupnationcentral.org/company_page/Alumor
3,EV Kinetics Technologies,Electric Tractive Power System for Vehicles,https://finder.startupnationcentral.org/company_page/ev-kinetics-technologies-ltd
4,Watergen,Atmospheric Water Generator,https://finder.startupnationcentral.org/company_page/water-gen
5,PDP-Tech,Predictive Maintenance Solution,https://finder.startupnationcentral.org/company_page/pdp-technologies
6,EZPack Water,Off-grid Clean Water Solutions,https://finder.startupnationcentral.org/company_page/ezpack
7,Aquarius Spectrum,Leak-detection and Monitoring Solutions for Water Utilities,https://finder.startupnationcentral.org/company_page/aquarius-spectrum
8,Etugo,Intelligent Home System,https://finder.startupnationcentral.org/company_page/ez-power-lines
9,Phinergy,Metalâ€“Air Energy Generation and Storage Systems,https://finder.startupnationcentral.org/company_page/phinergy
10,Eta-Bar,Offline Power Supply for IoT Devices,https://finder.startupnationcentral.org/company_page/eta-bar
11,ElectReon,Wireless Electric Power System for Public Transportation,https://finder.startupnationcentral.org/company_page/electroad
12,Apollo,Solar Energy Production Technology,https://finder.startupnationcentral.org/company_page/solarpaint
13,Computerized Electricity Systems (CES),Energy Management Systems,https://finder.startupnationcentral.org/company_page/computerized-electricity-systems-ces
14,Driivz,Electric Vehicle Charging and Energy Management Solution,https://finder.startupnationcentral.org/company_page/driivz
15,Sowillo Energy,Waste Heat Recuperation System for Buildings,https://finder.startupnationcentral.org/company_page/sowillo
16,SolCold,Innovative Solar Cooling Technology,https://finder.startupnationcentral.org/company_page/solcold
17,MindoLife IoT,Buildingwide Energy Management Systems,https://finder.startupnationcentral.org/company_page/mindolife
18,Enervibe,Energy-harvesting Solutions,https://finder.startupnationcentral.org/company_page/enervibe
19,Soapy Care,IoT Micro Hygiene Station,https://finder.startupnationcentral.org/company_page/soapy
20,Tondo,Connected Lighting Solutions for Smart Cities,https://finder.startupnationcentral.org/company_page/tondo
21,HPNow,Sustainable Hydrogen Peroxide Generation Solutions,https://finder.startupnationcentral.org/company_page/hpnow
22,Powercom,Smart Grid Solutions for Utilities,https://finder.startupnationcentral.org/company_page/powercom
23,Spheratec Technologies,Photovoltaic Energy Production and Storage,https://finder.startupnationcentral.org/company_page/spheratec
24,Juganu,"Indoor, Outdoor, and Industrial Smart LED Lighting",https://finder.startupnationcentral.org/company_page/juganu
25,TouchWand,Smart Home Solutions,https://finder.startupnationcentral.org/company_page/touchwand
26,Aquarius Engines,Internal Combustion Engine for Cars and Generators,https://finder.startupnationcentral.org/company_page/aquarius-engines
27,Ayala Water & Ecology,"Solutions for Water, Soil, and Air Pollution",https://finder.startupnationcentral.org/company_page/ayala-water-and-ecology
28,DST Cleantech,Solar Solutions and LED-based Illumination Devices,https://finder.startupnationcentral.org/company_page/dst-cleantech
29,SolarBead,Smart Microinverter for Enhancing PV Yield,https://finder.startupnationcentral.org/company_page/solarbead
30,Applied Cavitation Technologies,Water Treatment and Purification Equipment,https://finder.startupnationcentral.org/company_page/applied-cavitation-technologies
31,Solaris Synergy,Floating Solar Farm,https://finder.startupnationcentral.org/company_page/solaris-synergy
32,Grid4C,Smart Grid Predictive Analytics Solution,https://finder.startupnationcentral.org/company_page/grid4c
33,FSIGHT,AI-based Distributed Energy Management Solution,https://finder.startupnationcentral.org/company_page/foresight-energy-scales
34,Synvertec,Grid Stability Software,https://finder.startupnationcentral.org/company_page/synvertec-ltd
35,Vigdu Technologies,PID Solutions for Solar Panels,https://finder.startupnationcentral.org/company_page/vigdu-technolgies
36,EGM,Electrical Grid Monitoring and Managing Tool,https://finder.startupnationcentral.org/company_page/egm
37,Mapal Green Energy,Wastewater Treatment,https://finder.startupnationcentral.org/company_page/mapal-green-energy
38,Green Power Management,Reducing Electrical Peak Demand,https://finder.startupnationcentral.org/company_page/gpm-green-power-management
39,IOSight,Data Management and Analytics for the Water and Energy Sectors,https://finder.startupnationcentral.org/company_page/iosight
40,GreenTech Energy,Solar Hot Water and Solar Pool Heaters,https://finder.startupnationcentral.org/company_page/greentech-energy
41,Vollspark,Smart Power Transformers for Regulating Alternative Energy Input,https://finder.startupnationcentral.org/company_page/volex-power
42,RST Cleantech,Automatic Solar Panel Cleaning,https://finder.startupnationcentral.org/company_page/rst-cleantech
43,Raycatch,AI Diagnostics System for PV Plants,https://finder.startupnationcentral.org/company_page/raycatch-pv-analytics
44,3GSolar Photovoltaics,Energy Solution for Wireless and IoT Devices,https://finder.startupnationcentral.org/company_page/3gsolar-photovoltaics-lts
45,DryGair Energies,Climate Control for Greenhouses,https://finder.startupnationcentral.org/company_page/drygair
46,Amiad,Water Treatment and Filtration Solutions,https://finder.startupnationcentral.org/company_page/amiad
47,Agam Greenhouse Energy Systems,"Dehumidification, Heating, and Cooling Systems",https://finder.startupnationcentral.org/company_page/agam-energy-systems
48,TaKaDu,Central Event Management for the Water Industry,https://finder.startupnationcentral.org/company_page/takadu
49,Kite Bricks,High-strength Concrete Bricks for Construction,https://finder.startupnationcentral.org/company_page/kite-bricks
50,Qnergy,Stirling-based Power Generation Systems,https://finder.startupnationcentral.org/company_page/qnergy
51,SolarEdge,Distributed Solar Power Harvesting and Module-level PV Monitoring,https://finder.startupnationcentral.org/company_page/solaredge
52,eSave,Power-saving Systems,https://finder.startupnationcentral.org/company_page/esave
53,Vintec Knowledge,Energy-saving Technologies,https://finder.startupnationcentral.org/company_page/vintec-knowledge
54,Elspec Engineering,Power Quality Analysis and Factor Correction,https://finder.startupnationcentral.org/company_page/elspec-engineering
55,ThermoTerra,Harnessing Energy from Humidity Fluctuation,https://finder.startupnationcentral.org/company_page/thermoterra
56,Vectored Photonics,Contextual Personal Monitoring and Servicing Platform,https://finder.startupnationcentral.org/company_page/vectored-photonics
57,Phoebus Energy,Hybrid Water Heating and Cooling Solutions for Commercial Sites,https://finder.startupnationcentral.org/company_page/phoebus-energy
58,SmartGreen,Energy Optimization Solutions for Commercial Buildings,https://finder.startupnationcentral.org/company_page/smartgreen
59,GreenBin,Smart Management System for Urban Waste Bins,https://finder.startupnationcentral.org/company_page/greenbin
60,EVR Motors,Electric Motor Topology,https://finder.startupnationcentral.org/company_page/evr
61,On-Off Smart Home Technologies,Smart Home Hardware and App Developer,https://finder.startupnationcentral.org/company_page/on-off-smart-home-technologies
62,Greenlet,Scalable Energy Control,https://finder.startupnationcentral.org/company_page/greenlet
63,Aqua Solutions,Detergent-free Industrial Laundry System,https://finder.startupnationcentral.org/company_page/aqua-solutions
64,REMMON Remote Monitoring,Remote Monitoring and Control Solutions for Industrial Sites,https://finder.startupnationcentral.org/company_page/remmon-remote-monitoring
65,AutoMate,Hybrid Mass Transit/Car System,https://finder.startupnationcentral.org/company_page/automate
66,Organooz Technologies,Solar Energy Distribution,https://finder.startupnationcentral.org/company_page/organooz-technologies
67,EcoPlant,Energy-saving SaaS Solution for Compressed Air Systems,https://finder.startupnationcentral.org/company_page/ecoplant
68,Magic Lighting Optics,Innovative Optics Solutions for LED Lighting,https://finder.startupnationcentral.org/company_page/magic-lighting-optics
69,Power Offer,Converting and Regulating AC Power,https://finder.startupnationcentral.org/company_page/power-offer
70,Yotta Green,Household Energy Optimization System,https://finder.startupnationcentral.org/company_page/yotta-green
71,kWatti,Electricity Usage Monitoring,https://finder.startupnationcentral.org/company_page/kwatti
72,Galooli,Remotely Managed IoT Solutions for Connected Assets,https://finder.startupnationcentral.org/company_page/galooli
73,G-patrol,Energy Management for PCs,https://finder.startupnationcentral.org/company_page/g-patrol
74,ProximoTech,Home Energy Management,https://finder.startupnationcentral.org/company_page/proximotech
75,Watts & More,Improving Efficiency of Photovoltaic Installations,https://finder.startupnationcentral.org/company_page/watts-more
76,WTR Tec,Energy-efficient Wastewater Purification and Recycling Systems,https://finder.startupnationcentral.org/company_page/wtr-tec1
77,Panoramic Power,Circuit-level Energy Management Solutions,https://finder.startupnationcentral.org/company_page/panoramic-power
78,StreamBooster,Renewable Energy Production,https://finder.startupnationcentral.org/company_page/streambooster
79,NanoTrans Tech,Insulating Nanotransducer,https://finder.startupnationcentral.org/company_page/nanotrans-tech
80,Smart Energy,Energy Savings in Cooling and Air Conditioning Systems,https://finder.startupnationcentral.org/company_page/smart-energy
81,Innosave Energy,Energy-saving Drive for Electric Motors,https://finder.startupnationcentral.org/company_page/innosave-energy-ltd
82,Thermo Clean Tech,Real-time Water Heater Control System,https://finder.startupnationcentral.org/company_page/thermo-clean-tech
83,Seener-G,Industrial Energy Optimization and Management,https://finder.startupnationcentral.org/company_page/seener-g1
84,Raval,Automobile Valves and Emission Control Products,https://finder.startupnationcentral.org/company_page/raval
85,CQM,Automatic Tube Cleaning System and Chemical-free Water Treatment Solutions,https://finder.startupnationcentral.org/company_page/CQM
86,HIGOAL,Smart Home Operating System,https://finder.startupnationcentral.org/company_page/higoal
87,TourEngine,High-efficiency Combustion Engine Technology,https://finder.startupnationcentral.org/company_page/tour-engine
88,M.D.S Wireless Technologies,Smart Boiler Control Switch,https://finder.startupnationcentral.org/company_page/m-d-s-wireless
89,Hanita Coatings,Window Films for Insulation and Energy Efficiency,https://finder.startupnationcentral.org/company_page/hanita-coatings
90,hoopo,Geolocation for Low-power IoT,https://finder.startupnationcentral.org/company_page/hoopo
91,Termokir,Plaster and Adhesive Materials,https://finder.startupnationcentral.org/company_page/termokir
92,Librimind,AI-based Sustainable Industrial Solutions,https://finder.startupnationcentral.org/company_page/librimind
93,Millennium Electric T.O.U.,PV and PVT Solar Technologies,https://finder.startupnationcentral.org/company_page/millennium-electric-t-o-u
94,Nortex Technologies,Smart Grid Solutions for Utilities Management,https://finder.startupnationcentral.org/company_page/nortex-technologies
95,PowerPlug,PC Power Management,https://finder.startupnationcentral.org/company_page/powerplug
96,Tamuz Electronics,Energy Systems and Backup Technologies,https://finder.startupnationcentral.org/company_page/tamuz-electronics
97,Metrolight,LED and IoT Solutions,https://finder.startupnationcentral.org/company_page/metrolight
98,GreenOn,Incentivizing Environmentally Friendly Transportation,https://finder.startupnationcentral.org/company_page/greenon
99,Moon Solar Light,Solar Street Lighting and Related Safety Products,https://finder.startupnationcentral.org/company_page/msl
100,SATEC Powerful Solutions,Energy Management Solutions,https://finder.startupnationcentral.org/company_page/satec
101,FOTONICA,Energy-saving Light Systems for Plants,https://finder.startupnationcentral.org/company_page/florafotonica
102,Eltam Ein Hashofet,Advanced Lighting System Design and Manufacturing,https://finder.startupnationcentral.org/company_page/eltam-ein-hashofet
103,Gaash Lighting,Indoor and Outdoor Lighting Manufacturer,https://finder.startupnationcentral.org/company_page/gaash-lighting
104,enVerid Systems,Energy-saving HVAC Load Reduction,https://finder.startupnationcentral.org/company_page/enverid
105,Pollight,Wireless Building Automation System,https://finder.startupnationcentral.org/company_page/pollight
106,ABI Energy,Pipeline Transportation of Medium Flow,https://finder.startupnationcentral.org/company_page/abi-energy
107,AseptoRay,Ultraviolet Pasteurization,https://finder.startupnationcentral.org/company_page/aseptoray
108,Azrom,Turnkey Greenhouse Projects,https://finder.startupnationcentral.org/company_page/azrom
109,Unique Technology,Automatic Meter Reading for Electrical Systems,https://finder.startupnationcentral.org/company_page/unique-technology
110,Reali Technologies,Industrial IoT Remote Control and SCADA Solution,https://finder.startupnationcentral.org/company_page/reali-technologies-realiteq
111,ESOL Energy Solutions,"Heating, Cooling, and Air Conditioning Technology",https://finder.startupnationcentral.org/company_page/esol-energy-solutions-ltd1
112,Vortex Energy,Energy Optimization for Heating and Air Conditioning Systems,https://finder.startupnationcentral.org/company_page/vortex-energy
113,Colibri Spindles,Jet Spindle Technology for CNC Machining,https://finder.startupnationcentral.org/company_page/colibri-spindles
114,Thermobit,Smart Wireless Thermostat for Residential Hot Water Boilers,https://finder.startupnationcentral.org/company_page/thermobit
115,OptiVector,Efficient and Low-noise Rotors,https://finder.startupnationcentral.org/company_page/optivector
116,Solav Energy,Solar Water Heating System,https://finder.startupnationcentral.org/company_page/solav-energy
117,Hotter Electric,Instant Water Heaters,https://finder.startupnationcentral.org/company_page/hotter-electric
118,LucidLogix Technologies,Power-saving Software for Mobile Devices,https://finder.startupnationcentral.org/company_page/lucidlogix-technologies
119,Tamuz Energy,Industrial Process Solar Heat,https://finder.startupnationcentral.org/company_page/tamuz-energy
120,Yeloha,Peer-to-peer Solar-sharing Network,https://finder.startupnationcentral.org/company_page/yeloha
121,Peak-Dynamics,Smart Water Network Management,https://finder.startupnationcentral.org/company_page/peak-dynamics
122,Linum Systems,Thermal Solar-based Air-conditioning,https://finder.startupnationcentral.org/company_page/linum-systems
123,Battery Switchy,Battery-swapping Machines for Light Electric Vehicles,https://finder.startupnationcentral.org/company_page/battery-switchy
124,Kedma Solar,Solar Energy Systems for Consumers,https://finder.startupnationcentral.org/company_page/kedma-solar
125,illumaSense,Smart Urban Infrastructure Management,https://finder.startupnationcentral.org/company_page/illumasense
126,Flywheel Energy,Flash Charger for Electrical Vehicles,https://finder.startupnationcentral.org/company_page/energo-on
127,Mantissa,Mini Radar for Advanced Security Applications,https://finder.startupnationcentral.org/company_page/mantissa
128,O2Waterator,Water Pressure-based Aeration System for Fish Ponds,https://finder.startupnationcentral.org/company_page/o2waterator
129,HydroP,Performance-enhancing Additives for Desalination Membranes,https://finder.startupnationcentral.org/company_page/hydrop
130,PowerSines,Energy Management and Voltage Optimization Solutions,https://finder.startupnationcentral.org/company_page/powersines
131,Zira,Energy Management App for Manufacturers,https://finder.startupnationcentral.org/company_page/lightapp-technologies
132,Modcon Systems,Oil and Gas Process Analyzer Systems,https://finder.startupnationcentral.org/company_page/modcon-systems
133,Tzofan,Low-power Wireless Connectivity for IoT Networks,https://finder.startupnationcentral.org/company_page/tzofan-cyber
134,Meitav-tec,Intelligent HVAC Temperature Control,https://finder.startupnationcentral.org/company_page/meitav-tec
135,Bulbee,Social Platform for Domestic Energy Usage,https://finder.startupnationcentral.org/company_page/bulbee
136,Advantix Systems,Dehumidification and Cooling,https://finder.startupnationcentral.org/company_page/advantix-systems
137,MDS Heat,Indoor and Outdoor Heating Solutions,https://finder.startupnationcentral.org/company_page/mds-heat
138,Telit Wireless Solutions,Enterprise-grade IoT Products and Software,https://finder.startupnationcentral.org/company_page/telit-wireless-solutions
139,Redler Technologies,Motion Control and Navigation Equipment,https://finder.startupnationcentral.org/company_page/redler-mechatronics
140,Rolla RWT,Compact Heating Trays,https://finder.startupnationcentral.org/company_page/rolla-rwt
141,Alteco A.I,Energy Optimization Predictive Tools,https://finder.startupnationcentral.org/company_page/alteco-ai
142,Fenec Labs,IoT Monitoring and Control System for Large-scale Split Air Conditioning Installations,https://finder.startupnationcentral.org/company_page/fenec-labs-ltd
143,Nam Technology,Saving Energy and Fuel in the Food Industry and Cooling Logistics,https://finder.startupnationcentral.org/company_page/n-a-m-technology-ltd
144,ZevaLed,Colored LED Lights,https://finder.startupnationcentral.org/company_page/zevaled
145,Catom Energy,Energy Management Systems,https://finder.startupnationcentral.org/company_page/catom-energy
146,Clearly,Carbon Reduction Solution for the Mobility Industry,https://finder.startupnationcentral.org/company_page/clearly
147,Bing Klima,Agri-voltaic Modules for Urban Environment,https://finder.startupnationcentral.org/company_page/bing-klima
148,Fonto Power,Green Energy Generation Management System,https://finder.startupnationcentral.org/company_page/fonto-power
149,Deaway,Advanced Automotive Energy Solutions,https://finder.startupnationcentral.org/company_page/deaway
150,Setpoint,Climate Intelligence Solution,https://finder.startupnationcentral.org/company_page/Setpoint
151,Tadiran Group,Air Conditioning and Purification Systems,https://finder.startupnationcentral.org/company_page/tadiran-holdings
152,Smartive,Internal Combustion Engine,https://finder.startupnationcentral.org/company_page/smartive
153,QuantumLeap,Space-based Quantum AIoT Platform,https://finder.startupnationcentral.org/company_page/quantumleap
154,SolOr,Solar Paint that Converts Sunlight into Electricity,https://finder.startupnationcentral.org/company_page/solor
155,Emmesh,Long-duration Energy Storage Systems,https://finder.startupnationcentral.org/company_page/emmesh
156,Remeant Technologies,Turning Plastic Waste into Textile,https://finder.startupnationcentral.org/company_page/remeant-technologies-ltd
157,BioShade,Green Shade for Smart Cities,https://finder.startupnationcentral.org/company_page/bioshade
158,Phasor,Power Supply Protection and Grid Reliability Improvement,https://finder.startupnationcentral.org/company_page/phasor
159,Larotec,Remote Control and Energy Consumption Monitoring,https://finder.startupnationcentral.org/company_page/larotec
160,QDSOL,Sunlight-based Water Splitting for Green Hydrogen Generation,https://finder.startupnationcentral.org/company_page/qdsol-ltd
161,ELEMENTS,Platform for Connecting Homes & Businesses with Clean Energy Solutions,https://finder.startupnationcentral.org/company_page/elements
162,Urecsys,Air Quality Optimization Solution,https://finder.startupnationcentral.org/company_page/urecys
